,campaign_name,adset_name,Region,Age Range,TargetAudience
12438,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Focusing On University [ 4th Nov ],nan,,
12439,CBO - USP Masterclass Cold [ 15th Dec ] - Higher Intent - No Logic - India Â– new link,Open Targeting - Advantage+ audience [ 7th Dec ],India,25 - 30,
12440,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12441,xCBO - USP Masterclass Cold [ 23rd Nov ] - More Volume - No Logic - India-  new link,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12442,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12443,USP_Video_More_Volume_No Logic_India_New Link,Focusing On University,"India excl AP,KA,TM,TL",25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12444,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12445,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12446,CBO - USP Masterclass Cold [ 15th Dec ] - More Volume - No Logic - India Â– New Link,Related To Study In US [ 23rd Nov ],"India excl AP,KA,TM,TL",25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12447,USP Study Abroad_Generic_240224,All India Generic Leads Ad Set_240224,nan,,
12448,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12449,CBO - USP Masterclass Cold [ 15th Dec ] - Higher Intent - No Logic - India Â– new link,Open Targeting - Advantage+ audience [ 7th Dec ],India,25 - 30,
12450,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12451,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12452,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12453,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12454,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12455,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12456,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12457,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12458,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
12459,xCBO - USP Masterclass Cold [ 23rd Nov ] - More Volume - No Logic - India-  new link,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12460,USP_Program_More-Volume_No Logic_India_220124,Related To Study In US_India,India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12461,USP_Program_More-Volume_No Logic_India_220124,Entrance Exam_India,"India excl AP,KA,TM,TL",25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12462,USP_Program_More-Volume_No Logic_South-states_220124,Entrance Exam_South States,India: Andhra Pradesh; Telangana,25-30,Exclude: Gen_HSPass LangTests and PostGrad
12463,USP_Program_More-Volume_No Logic_South-states_220124,Entrance Exam_South States,India: Andhra Pradesh; Telangana,25-30,Exclude: Gen_HSPass LangTests and PostGrad
12464,USP_Program_More-Volume_No Logic_India_220124,Entrance Exam_India,"India excl AP,KA,TM,TL",25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12465,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
